,Date,Start,Maximum,End
0,2019/01/02,104,110,115
1,2019/01/02,1112,1118,1124
2,2019/01/03,1000,1034,1053
3,2019/01/04,664,695,706
4,2019/01/06,116,122,129
5,2019/01/06,215,221,227
6,2019/01/06,263,292,314
7,2019/01/06,332,351,361
8,2019/01/06,515,521,528
9,2019/01/06,631,651,660
10,2019/01/06,813,817,819
11,2019/01/07,619,623,626
12,2019/01/12,1145,1146,1147
13,2019/01/19,1320,1321,1322
14,2019/01/23,1305,1309,1312
15,2019/01/24,1135,1138,1140
16,2019/01/24,1338,1342,1347
17,2019/01/25,66,71,76
18,2019/01/25,127,144,147
19,2019/01/25,245,251,263
20,2019/01/25,509,515,521
21,2019/01/25,964,971,982
22,2019/01/25,1273,1287,1295
23,2019/01/26,214,229,234
24,2019/01/26,404,407,410
25,2019/01/26,473,477,487
26,2019/01/26,472,481,487
27,2019/01/26,490,493,497
28,2019/01/26,792,802,814
29,2019/01/26,952,955,958
30,2019/01/26,974,988,995
31,2019/01/26,1129,1153,1160
32,2019/01/26,1421,1424,1428
33,2019/01/26,1421,1425,1427
34,2019/01/28,60,64,68
35,2019/01/28,1052,1057,1156
36,2019/01/28,1053,1134,1149
37,2019/01/28,1188,1193,1198
38,2019/01/29,302,307,323
39,2019/01/29,396,401,405
40,2019/01/29,440,456,462
41,2019/01/29,621,634,640
42,2019/01/29,903,922,936
43,2019/01/29,1277,1289,1308
44,2019/01/30,129,134,140
45,2019/01/30,269,276,281
46,2019/01/30,313,327,335
47,2019/01/30,356,371,379
48,2019/01/30,461,464,466
49,2019/01/30,508,515,523
50,2019/01/30,631,638,643
51,2019/01/30,676,684,692
52,2019/01/30,850,855,858
53,2019/01/30,922,926,929
54,2019/01/30,1020,1025,1027
55,2019/01/30,1160,1168,1200
56,2019/01/30,1227,1234,1240
57,2019/01/30,1348,1352,1354
58,2019/01/30,1355,1361,1364
59,2019/01/31,54,58,63
60,2019/01/31,141,149,160
61,2019/01/31,937,943,948
62,2019/01/31,1002,1013,1036
63,2019/02/08,530,531,532
64,2019/02/18,960,964,965
65,2019/02/20,242,264,297
66,2019/03/01,890,891,892
67,2019/03/06,317,326,331
68,2019/03/08,186,198,238
69,2019/03/09,268,272,278
70,2019/03/09,735,746,757
71,2019/03/16,848,849,850
72,2019/03/18,729,733,736
73,2019/03/18,819,823,826
74,2019/03/18,827,831,835
75,2019/03/18,985,998,1002
76,2019/03/18,1050,1054,1059
77,2019/03/18,1112,1115,1118
78,2019/03/20,17,20,22
79,2019/03/20,425,434,445
80,2019/03/20,388,470,498
81,2019/03/20,635,678,694
82,2019/03/20,739,745,748
83,2019/03/20,786,789,794
84,2019/03/20,820,823,829
85,2019/03/20,863,872,888
86,2019/03/20,1055,1079,1092
87,2019/03/20,1279,1284,1292
88,2019/03/21,3,13,19
89,2019/03/21,172,180,184
90,2019/03/21,188,192,195
91,2019/03/21,476,479,481
92,2019/03/21,585,612,622
93,2019/03/21,677,681,691
94,2019/03/21,880,884,887
95,2019/03/21,942,945,947
96,2019/03/21,958,961,963
97,2019/03/21,1033,1041,1059
98,2019/03/21,1194,1199,1202
99,2019/03/21,1254,1273,1279
100,2019/03/22,27,34,38
101,2019/03/22,120,126,128
102,2019/03/22,251,255,260
103,2019/03/22,305,314,317
104,2019/03/22,474,481,484
105,2019/03/22,493,499,502
106,2019/03/22,614,619,625
107,2019/03/22,714,718,724
108,2019/03/22,730,733,735
109,2019/03/22,751,759,762
110,2019/03/22,766,774,777
111,2019/03/22,828,832,835
112,2019/03/22,853,858,861
113,2019/03/22,881,884,886
114,2019/03/22,930,934,937
115,2019/03/22,998,1002,1006
